sbd,yy,toan,van,khxh,khtn,ls,dl,gdcd,sh,vl,hh,ta
2000156,2002,8.6,7,-1,6.92,-1,-1,-1,4.75,8,8,5
2000157,2002,8.2,7.5,-1,7.08,-1,-1,-1,7,5.75,8.5,5
2000158,2002,7.4,7.25,-1,5.5,-1,-1,-1,4.75,4.5,7.25,7.8
2000159,2002,9.4,7.25,-1,7.17,-1,-1,-1,5.5,8.25,7.75,7.4
2000160,2002,8.4,5.5,-1,5.42,-1,-1,-1,4.75,6.5,5,6.6
2000161,2002,7,6.75,-1,5.17,-1,-1,-1,4.75,5.25,5.5,6.4
2000162,2002,8.8,6.5,-1,6.33,-1,-1,-1,5.25,7,6.75,6.6
2000163,2002,8.8,6.75,-1,7.33,-1,-1,-1,5.75,9,7.25,9
2000164,2002,8.2,6.5,-1,6.75,-1,-1,-1,5.5,7,7.75,5.4
2000165,2002,8.8,8.25,-1,4.92,-1,-1,-1,5.25,3.75,5.75,7.8
2000166,2002,8,7,-1,7.42,-1,-1,-1,7.25,7,8,4.8
2000167,2002,8,6.75,-1,6.58,-1,-1,-1,5.75,6.75,7.25,5.6
2000168,2002,8.4,8,6.83,-1,5.25,6,9.25,-1,-1,-1,8.6
2000169,2002,8.8,7,-1,6.33,-1,-1,-1,4,7.75,7.25,7.8
2000170,2002,8.4,8.25,7.08,-1,5,7.25,9,-1,-1,-1,6.6
2000171,2002,8.6,5.67,-1,6.17,-1,-1,-1,4,7.5,7,8
2000172,2002,8.2,7.25,6.33,-1,4.75,7.25,7,-1,-1,-1,5.6
2000173,2002,8.8,6.75,-1,7.75,-1,-1,-1,7,8,8.25,-1
2000174,2002,9,7.75,-1,7.5,-1,-1,-1,5.5,8.75,8.25,7.6
2000175,2002,8.2,8,7.42,-1,7,7.75,7.5,-1,-1,-1,6
2000176,2002,8.6,7,-1,6.42,-1,-1,-1,6.5,6.75,6,8.8
2000177,2002,7.8,7,7.67,-1,7.5,7,8.5,-1,-1,-1,7.2
2000178,2002,9.2,6.5,-1,6.75,-1,-1,-1,6.5,7.75,6,7.8
2000179,2002,8.6,7,-1,7.08,-1,-1,-1,6.5,7.75,7,9.2
2000180,2002,7,6,6.08,-1,5.5,5.5,7.25,-1,-1,-1,4.2
2000181,2002,8.6,6.5,-1,5.83,-1,-1,-1,3.5,6.75,7.25,5.6
2000182,2002,7,7,7,-1,6.5,7,7.5,-1,-1,-1,7.8
2000183,2002,7.8,7.5,-1,5.67,-1,-1,-1,4.5,7,5.5,8.8
2000184,2002,8.4,4.25,-1,6.33,-1,-1,-1,6.5,7.5,5,8.8
2000185,2002,8.4,6.25,-1,6.42,-1,-1,-1,4.75,8.25,6.25,7.2
2000186,2002,7.8,7.25,-1,5.58,-1,-1,-1,5.25,6.75,4.75,6.6
2000187,2002,8.2,6.5,-1,6.83,-1,-1,-1,5,8.25,7.25,5.2
2000188,2002,8.4,7.5,-1,6.25,-1,-1,-1,5.25,8,5.5,8.2
2000189,2002,8.2,5.75,-1,5.75,-1,-1,-1,5.75,6.75,4.75,6.8
2000190,2002,7.8,6,-1,5,-1,-1,-1,5,5.5,4.5,8.4
2000191,2002,9.2,6,-1,6.5,-1,-1,-1,4.75,7.25,7.5,6.6
2000192,2002,8.4,4.75,-1,5.25,-1,-1,-1,3.5,7.25,5,7.4
2000193,2002,7.6,6.25,-1,5.92,-1,-1,-1,5.75,6.75,5.25,7.6
2000194,2002,7.4,6.75,-1,6.75,-1,-1,-1,6.5,6.25,7.5,7.2
2000195,2002,8.2,7.5,-1,7,-1,-1,-1,6.25,7,7.75,7
2000196,2002,8.2,7,-1,6,-1,-1,-1,5,7,6,6.6
2000197,2002,5.4,5.75,5.17,-1,3.75,5.25,6.5,-1,-1,-1,3.2
2000198,2002,5.2,7,-1,5.58,-1,-1,-1,5,7,4.75,6.2
2000199,2002,8.6,7.5,-1,5.58,-1,-1,-1,3.5,8.25,5,8.4
2000200,2002,7.4,7,7.83,-1,8.25,7.25,8,-1,-1,-1,9.2
2000201,2002,7.8,7,-1,4.67,-1,-1,-1,5,3.5,5.5,7.8
2000202,2002,8,6.75,9.25,-1,9.25,9,9.5,-1,-1,-1,6.4
2000203,2002,7.6,7,5.75,-1,3.5,6.75,7,-1,-1,-1,6.2
2000204,2002,7.6,6.5,-1,7.08,-1,-1,-1,5.25,7.75,8.25,6.2
2000205,2002,7.8,6.75,-1,6.67,-1,-1,-1,7,5.75,7.25,6.6
2000206,2002,8.2,6,-1,7.25,-1,-1,-1,6.25,7.75,7.75,7.2
2000207,2002,7.6,6.75,-1,7.25,-1,-1,-1,5,8.25,8.5,6.6
2000208,2002,8.2,6.75,-1,6.33,-1,-1,-1,5.5,7.5,6,8.2
2000209,2002,7.8,5.5,-1,5.75,-1,-1,-1,6,4.5,6.75,7
2000210,2002,9,6.75,7.67,-1,7.5,7.25,8.25,-1,-1,-1,8.8
2000211,2001,9,7,-1,7.25,-1,-1,-1,6,7.75,8,7.6
2000212,2002,5.8,6,6.42,-1,6.25,6,7,-1,-1,-1,4.6
2000213,2002,8.2,6,-1,5.92,-1,-1,-1,4.25,6.75,6.75,5.6
2000214,2002,8,7,7.67,-1,6.75,7.75,8.5,-1,-1,-1,8.4
2000215,2002,8.6,9,8.92,-1,9.25,8.75,8.75,-1,-1,-1,6
2000216,2002,9.2,6.75,-1,7.25,-1,-1,-1,5.5,7.75,8.5,-1
2000217,2002,9.2,4,-1,6.42,-1,-1,-1,6.5,7.25,5.5,8.2
2000218,2002,8.2,6.5,-1,7.58,-1,-1,-1,7.25,7.5,8,6
2000219,2002,8.2,6.5,-1,5.58,-1,-1,-1,4.25,7.25,5.25,7.8
2000220,2002,6.6,5.5,-1,5.75,-1,-1,-1,5.5,6,5.75,3
2000221,2002,8,6.75,-1,6.25,-1,-1,-1,6.25,5.25,7.25,8.8
2000222,2002,8.6,7.5,-1,6.08,-1,-1,-1,5.25,7.5,5.5,8.8
2000223,2002,6.8,7,-1,6.58,-1,-1,-1,5.5,6.5,7.75,8.2
2000224,2002,7.6,7.75,7.58,-1,6.75,7.5,8.5,-1,-1,-1,8.2
2000225,2002,7.8,7.25,-1,6.17,-1,-1,-1,5.75,6.75,6,7.2
2000226,2002,8.2,6,-1,6.92,-1,-1,-1,7.5,5.5,7.75,6
2000227,2002,8.6,7,-1,5.33,-1,-1,-1,4.25,6.5,5.25,6.6
2000228,2002,8,4.75,-1,6.58,-1,-1,-1,5,7.75,7,6.8
2000229,2002,6.4,7,7.67,-1,5.5,8.25,9.25,-1,-1,-1,7.2
2000230,2002,8.8,8,-1,6.58,-1,-1,-1,4.25,8,7.5,8.4
2000231,2002,8.6,8,-1,7.67,-1,-1,-1,7.5,7,8.5,8.4
2000232,2002,7.2,6.25,8.75,-1,9,8.25,9,-1,-1,-1,8.8
2000233,2002,6.6,7.75,-1,5.17,-1,-1,-1,5,5.5,5,6.2
2000234,2002,6.8,7.5,-1,3.83,-1,-1,-1,2.75,3.25,5.5,7.8
2000235,2002,5,6.75,5.83,-1,4.75,5.5,7.25,-1,-1,-1,2.2
2000236,2002,8.4,6,-1,6.25,-1,-1,-1,5,7.75,6,8
2000237,2002,8,6.5,-1,6.42,-1,-1,-1,4.5,7.25,7.5,7.4
2000238,2002,7.4,7.25,-1,4.67,-1,-1,-1,5,3.75,5.25,4.4
2000239,2002,8.4,6.75,8.58,-1,8.5,8.25,9,-1,-1,-1,7.4
2000240,2002,8.8,6.5,-1,6.67,-1,-1,-1,5.5,7.75,6.75,7.4
2000241,2002,6,5.5,7,-1,5.5,7,8.5,-1,-1,-1,7.4
2000242,2002,7.2,5.5,-1,6.42,-1,-1,-1,7.5,5,6.75,6.6
2000243,2002,9.2,4.25,-1,7.42,-1,-1,-1,6.25,7.75,8.25,6
2000244,2002,8.6,7.25,-1,7,-1,-1,-1,7.25,7.75,6,6.2
2000245,2002,4.4,5.25,7,-1,4.75,8.25,8,-1,-1,-1,3.6
2000246,2002,7.8,5.75,-1,6.25,-1,-1,-1,6.25,6.75,5.75,5.2
2000247,2002,8,6.25,-1,6,-1,-1,-1,4.5,6,7.5,5
2000248,2002,8.6,7,-1,6.08,-1,-1,-1,5.25,6.75,6.25,5.8
2000249,2002,8,7.75,-1,5.33,-1,-1,-1,2.75,7,6.25,4.6
2000250,2002,7.4,7.25,7.33,-1,5.25,7.75,9,-1,-1,-1,7
2000251,2002,6.8,6,7.33,-1,6,7.25,8.75,-1,-1,-1,6.6
2000252,2002,7.4,7.75,7.92,-1,7.5,8,8.25,-1,-1,-1,7.6
2000253,2002,8,6.25,6.67,-1,6.25,5,8.75,-1,-1,-1,7
2000254,2002,7.8,6.75,-1,6.75,-1,-1,-1,4.75,7,8.5,7.2
2000255,2002,8.2,8.25,7.58,-1,7.5,7.5,7.75,-1,-1,-1,6
2000256,2002,7,7.25,6.17,-1,5,6,7.5,-1,-1,-1,7.2
2000257,2002,7.4,7.25,-1,6.08,-1,-1,-1,5.5,7.75,5,8.4
2000258,2002,8.6,7.75,7.33,-1,7.75,7.25,7,-1,-1,-1,9.2
2000259,2002,8,6.25,-1,6.25,-1,-1,-1,5,7,6.75,5.2
2000260,2002,7.2,6.75,-1,5.42,-1,-1,-1,5.75,5.75,4.75,4.8
2000261,2002,7.8,6.25,-1,6.33,-1,-1,-1,5.25,7.5,6.25,7.2
2000262,2002,8,6.5,-1,7.08,-1,-1,-1,8,6,7.25,8
2000263,2002,6.8,6.5,-1,5.42,-1,-1,-1,5,6.5,4.75,7.2
